season,climate,country,coolingStrategy,thermalPreference,thermalComfort,indoorTemperature
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,26.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,25.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,26.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,26.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,26.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,28
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,26.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,28
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,27.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,27.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,1,27.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,3,27.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,26.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,27.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,27.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,27.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,27.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,29.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,26.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,26.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,6,27.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,22.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,23.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,26.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,4,23.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,2,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,23.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,24.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,23
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,22.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,2,22
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,22.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,21.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,22.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,3,21.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,24
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,21.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,21.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,21.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,21.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,21.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,20.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,20.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,3,21.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,21.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,21.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,20.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,24.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,20.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,22.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,24.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,4,24.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,23.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,4,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,26
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,22.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,5,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,25.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,22.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,3,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,21.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,3,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,25.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,25.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,25.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,23.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,24.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,1,22.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,4,24.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,5,23.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,22.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,24.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,4,24.8
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,warmer,3,21.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,22.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,22.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,25.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,25.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,1,24.1
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,26.3
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,26
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.6
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24.5
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,24
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,6,23.7
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,no change,5,23.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,4,25.2
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,3,23.9
Summer,Cool-summer mediterranean,USA,Naturally Ventilated,cooler,2,25
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.7
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,3,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,24.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.7
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,24.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.6
