season,climate,country,coolingStrategy,thermalPreference,thermalComfort,indoorTemperature
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,3,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.6
